"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
3,"20603","Owned/Free","1",0,0,29,"SC","White"
1,"20402","Owned/Mortgage","1",0,0,101,"SC","White"
1,"20402","Rented","1",0,0,34,"HS","White"
1,"20301","Rented","1",0,0,9,"C","White"
2,"20802","Owned/Free","1",0,0,10,"C","White"
2,"20205","Owned/Mortgage","1",0,0,16,"C","White"
2,"20602","Owned/Free","1",0,0,16,"SC","White"
2,"20903","Owned/Free","1",0,0,13,"C","White"
3,"20205","Owned/Free","1",0,0,7,"C","White"
1,"20207","Rented","1",1,0,101,"HS","White"
1,"20401","Rented","1",0,0,42,"C","Other"
1,"20201","Rented","1",0,0,27,"HS","Other"
1,"20206","Owned/Free","1",0,0,11,"C","Two or more"
2,"20904","Owned/Free","1",1,0,16,"HS","White"
2,"20207","Owned/Mortgage","1",0,0,12,"C","White"
1,"20402","Owned/Free","1",0,0,24,"SC","White"
1,"20500","Owned/Free","1",0,0,6,"C","White"
1,"20604","Rented","1",1,0,54,"HS","White"
2,"20901","Owned/Mortgage","1",0,0,77,"C","White"
1,"20801","Owned/Mortgage","1",0,0,22,"C","White"
2,"20500","Owned/Mortgage","1",0,0,22,"C","White"
3,"20207","Owned/Mortgage","1",0,0,11,"C","White"
4,"20604","Owned/Mortgage","1",1,1,101,"HS","White"
3,"20904","Owned/Mortgage","2",0,1,18,"HS","Other"
7,"20703","Owned/Free","1",0,1,16,"HS","White"
4,"20901","Owned/Free","1",0,0,9,"C","Two or more"
3,"20702","Owned/Free","1",0,0,10,"C","White"
4,"20904","Owned/Mortgage","1",0,0,11,"HS","Asian"
1,"20207","Rented","1",1,0,0,"C","White"
5,"20207","Occupied","1",0,1,0,"C","White"
1,"20702","Owned/Mortgage","1",0,0,58,"SC","White"
1,"20205","Rented","1",0,0,101,"HS","White"
2,"20205","Owned/Mortgage","1",0,0,18,"C","White"
2,"20604","Rented","1",0,0,12,"SC","White"
4,"20203","Owned/Mortgage","1",0,0,83,"SC","White"
4,"20301","Owned/Free","1",0,0,24,"HS","White"
5,"20703","Owned/Mortgage","1",0,0,18,"C","White"
2,"20500","Owned/Mortgage","1",0,0,36,"C","White"
5,"20702","Rented","1",0,0,38,"HS","White"
2,"20500","Rented","2",0,1,17,"SC","Black"
1,"20703","Rented","1",0,0,25,"C","White"
1,"20500","Owned/Mortgage","1",0,0,13,"C","Other"
1,"20604","Rented","1",0,0,15,"C","Two or more"
4,"20401","Owned/Mortgage","1",0,0,12,"C","White"
2,"20500","Owned/Free","1",0,0,11,"C","White"
5,"20402","Owned/Mortgage","1",1,1,31,"HS","White"
1,"20903","Owned/Mortgage","1",0,0,51,"C","White"
3,"20702","Owned/Mortgage","1",0,0,13,"SC","White"
1,"20203","Owned/Mortgage","1",0,0,31,"SC","White"
2,"20100","Owned/Mortgage","1",0,0,39,"C","White"
2,"20904","Owned/Free","1",0,0,16,"HS","Other"
3,"20402","Owned/Mortgage","1",0,0,14,"HS","White"
3,"20205","Owned/Free","1",0,0,8,"C","Other"
2,"20100","Owned/Free","1",0,0,16,"C","White"
1,"20601","Rented","1",0,0,101,"C","Asian"
1,"20702","Rented","1",0,0,25,"SC","White"
4,"20602","Owned/Free","1",0,0,6,"C","Black"
1,"20206","Rented","1",0,0,22,"HS","Two or more"
2,"20904","Owned/Mortgage","1",0,1,35,"SC","Black"
2,"20701","Rented","1",0,1,36,"HS","White"
1,"20201","Rented","1",0,0,27,"SC","White"
1,"20204","Rented","1",0,0,38,"C","White"
2,"20100","Rented","1",0,0,17,"HS","White"
2,"20904","Owned/Mortgage","1",0,0,23,"C","White"
2,"20207","Owned/Free","1",1,0,101,"C","White"
1,"20604","Owned/Mortgage","1",0,0,10,"C","White"
2,"20901","Rented","1",0,0,13,"C","White"
2,"20207","Rented","1",0,0,21,"SC","White"
4,"20204","Owned/Free","1",0,0,25,"HS","Other"
1,"20601","Owned/Free","1",0,0,29,"HS","Two or more"
1,"20602","Rented","1",0,0,28,"C","White"
1,"20206","Owned/Mortgage","1",1,0,0,"HS","White"
2,"20901","Owned/Free","1",0,0,3,"SC","White"
5,"20703","Owned/Mortgage","1",0,0,6,"HS","White"
3,"20701","Rented","1",0,0,37,"HS","White"
1,"20201","Rented","1",0,0,35,"SC","Two or more"
2,"20202","Owned/Free","1",0,0,14,"C","Black"
2,"20205","Rented","1",0,0,27,"C","Asian"
2,"20100","Owned/Free","1",0,0,15,"C","White"
3,"20202","Owned/Free","1",0,0,31,"HS","White"
2,"20204","Owned/Free","1",0,0,16,"C","White"
2,"20204","Owned/Free","1",0,0,9,"SC","White"
1,"20205","Owned/Mortgage","1",0,0,18,"C","White"
1,"20601","Owned/Free","1",0,0,14,"C","Asian"
1,"20202","Rented","1",0,0,25,"HS","White"
4,"20401","Rented","1",0,0,24,"SC","White"
4,"20703","Owned/Mortgage","1",0,0,18,"C","White"
2,"20201","Owned/Free","1",0,1,34,"HS","Two or more"
2,"20703","Owned/Free","1",0,0,24,"C","White"
2,"20802","Owned/Mortgage","1",0,0,16,"C","White"
1,"20602","Owned/Free","1",0,0,24,"SC","White"
2,"20604","Owned/Mortgage","1",0,1,27,"C","White"
1,"20402","Owned/Free","1",0,0,29,"HS","White"
3,"20100","Owned/Free","1",0,1,11,"HS","White"
4,"20100","Rented","1",0,0,25,"SC","White"
5,"20801","Rented","1",0,0,50,"HS","Other"
3,"20603","Owned/Mortgage","1",0,1,18,"C","White"
2,"20204","Owned/Mortgage","1",0,0,29,"SC","Black"
1,"20904","Owned/Free","1",0,0,45,"SC","White"
3,"20301","Owned/Mortgage","1",0,1,16,"HS","White"
4,"20205","Owned/Mortgage","1",0,0,14,"C","White"
4,"20301","Owned/Mortgage","1",0,0,13,"C","White"
5,"20901","Owned/Mortgage","1",0,0,12,"C","Asian"
2,"20904","Rented","1",0,1,24,"HS","White"
1,"20603","Rented","1",0,0,73,"C","White"
1,"20207","Owned/Free","1",0,0,56,"C","White"
3,"20206","Owned/Mortgage","1",1,1,23,"C","Two or more"
4,"20903","Owned/Mortgage","1",0,0,18,"SC","White"
1,"20100","Owned/Mortgage","1",0,0,31,"C","White"
2,"20802","Owned/Free","1",0,0,20,"C","White"
2,"20204","Owned/Mortgage","1",0,0,21,"C","White"
5,"20701","Rented","1",0,1,34,"SC","Other"
3,"20603","Owned/Mortgage","1",0,1,22,"HS","White"
2,"20401","Owned/Mortgage","1",0,0,9,"SC","White"
2,"20203","Owned/Mortgage","1",0,0,18,"HS","White"
3,"20603","Rented","1",0,1,54,"C","White"
2,"20201","Rented","1",0,0,64,"HS","Black"
2,"20207","Owned/Mortgage","1",0,0,24,"C","White"
1,"20603","Owned/Free","1",0,0,64,"SC","White"
2,"20402","Owned/Free","1",0,0,13,"HS","White"
1,"20702","Owned/Free","1",0,0,23,"C","White"
3,"20604","Owned/Mortgage","1",0,0,21,"C","Two or more"
2,"20901","Owned/Mortgage","1",0,0,13,"SC","Two or more"
3,"20703","Owned/Mortgage","1",0,1,19,"C","White"
2,"20500","Owned/Free","1",0,1,8,"SC","White"
3,"20205","Owned/Mortgage","1",0,1,101,"C","White"
4,"20203","Owned/Mortgage","1",0,0,29,"SC","Two or more"
2,"20601","Rented","1",0,0,29,"C","White"
3,"20202","Owned/Free","1",0,0,9,"C","White"
3,"20702","Owned/Mortgage","1",0,0,18,"C","White"
3,"20201","Rented","1",0,1,64,"HS","Other"
3,"20202","Rented","1",0,0,9,"HS","Black"
2,"20205","Owned/Mortgage","1",0,0,10,"HS","White"
2,"20604","Rented","1",0,0,15,"SC","White"
3,"20904","Owned/Mortgage","1",0,0,16,"C","Black"
1,"20601","Rented","1",1,0,101,"SC","Black"
1,"20500","Owned/Mortgage","1",0,0,32,"SC","Two or more"
2,"20603","Owned/Mortgage","1",0,0,41,"C","White"
4,"20703","Owned/Mortgage","2",1,0,101,"HS","White"
4,"20206","Owned/Mortgage","1",0,0,41,"C","White"
2,"20802","Owned/Free","1",0,0,8,"C","White"
3,"20202","Owned/Free","1",0,0,3,"C","White"
1,"20205","Owned/Free","1",0,0,39,"C","White"
5,"20401","Owned/Mortgage","1",0,0,14,"C","Other"
1,"20204","Owned/Free","1",0,0,4,"C","White"
3,"20203","Rented","1",0,1,48,"HS","White"
1,"20802","Owned/Free","1",0,0,9,"HS","White"
6,"20206","Owned/Free","1",0,0,16,"SC","Two or more"
5,"20801","Rented","1",0,1,17,"HS","Other"
2,"20207","Owned/Mortgage","1",0,0,29,"SC","Two or more"
4,"20801","Owned/Free","1",0,0,23,"HS","Two or more"
3,"20500","Owned/Free","1",0,1,32,"HS","Two or more"
1,"20604","Rented","1",1,0,101,"C","White"
1,"20207","Owned/Free","2",1,0,101,"HS","White"
1,"20801","Rented","1",0,0,43,"HS","Black"
1,"20904","Rented","1",0,0,12,"C","Asian"
3,"20702","Owned/Free","1",0,0,6,"C","Asian"
1,"20100","Owned/Mortgage","1",0,0,19,"C","White"
4,"20703","Rented","2",0,0,34,"HS","Two or more"
2,"20703","Owned/Free","1",0,0,7,"C","White"
2,"20703","Owned/Free","1",0,0,7,"SC","White"
8,"20203","Owned/Free","1",0,0,23,"C","White"
3,"20602","Owned/Free","1",0,1,12,"C","White"
2,"20604","Owned/Free","1",0,1,20,"C","Other"
3,"20902","Owned/Free","1",0,1,4,"C","White"
1,"20202","Owned/Free","1",0,0,16,"HS","White"
2,"20603","Owned/Free","1",0,0,7,"C","White"
2,"20703","Owned/Mortgage","1",0,0,16,"SC","White"
1,"20903","Owned/Free","1",0,0,28,"C","White"
2,"20901","Owned/Mortgage","1",0,0,14,"C","White"
3,"20902","Owned/Mortgage","1",0,0,16,"C","White"
1,"20206","Owned/Mortgage","1",0,0,15,"C","White"
1,"20100","Owned/Mortgage","1",0,0,20,"C","White"
5,"20802","Owned/Free","1",0,0,8,"C","White"
2,"20402","Owned/Free","1",0,0,16,"HS","White"
1,"20603","Rented","1",0,0,31,"HS","White"
2,"20604","Owned/Mortgage","1",0,0,17,"C","White"
4,"20100","Rented","1",1,1,25,"SC","White"
3,"20702","Owned/Mortgage","1",0,0,16,"C","Other"
2,"20604","Owned/Free","1",0,0,12,"HS","White"
3,"20603","Owned/Mortgage","1",0,1,41,"C","Black"
1,"20301","Rented","1",0,0,45,"SC","White"
4,"20602","Owned/Mortgage","1",0,0,17,"SC","White"
4,"20604","Owned/Free","1",0,1,31,"C","White"
3,"20703","Rented","2",0,1,49,"SC","Two or more"
4,"20500","Owned/Mortgage","1",0,0,50,"C","White"
5,"20801","Owned/Free","1",1,0,101,"HS","Other"
4,"20903","Owned/Mortgage","1",0,1,40,"SC","White"
2,"20603","Owned/Mortgage","1",0,0,8,"SC","White"
4,"20206","Owned/Mortgage","1",0,0,32,"HS","White"
1,"20401","Owned/Mortgage","1",0,0,9,"SC","White"
2,"20901","Owned/Free","1",0,0,30,"SC","White"
1,"20702","Owned/Free","1",0,0,26,"HS","White"
1,"20702","Owned/Free","1",0,0,36,"HS","White"
1,"20601","Rented","1",0,0,21,"SC","White"
2,"20206","Owned/Mortgage","1",0,0,7,"SC","White"
1,"20401","Rented","1",0,0,46,"HS","White"
1,"20901","Owned/Mortgage","1",0,0,8,"C","White"
3,"20401","Owned/Mortgage","1",0,1,21,"C","White"
3,"20500","Owned/Mortgage","1",0,0,25,"SC","White"
1,"20801","Rented","1",0,0,54,"C","White"
4,"20904","Rented","2",0,1,39,"HS","Other"
1,"20702","Owned/Free","1",0,0,16,"C","White"
1,"20901","Rented","1",0,0,36,"C","Two or more"
5,"20903","Owned/Mortgage","1",0,0,13,"C","White"
2,"20603","Owned/Mortgage","1",0,0,11,"C","White"
2,"20904","Owned/Mortgage","1",0,0,16,"C","White"
2,"20203","Owned/Free","1",0,0,8,"C","White"
1,"20904","Owned/Mortgage","1",0,0,101,"C","White"
2,"20901","Owned/Mortgage","1",0,0,31,"HS","Other"
3,"20802","Owned/Free","1",0,0,6,"C","White"
2,"20802","Owned/Mortgage","1",0,0,18,"C","White"
1,"20204","Rented","1",0,0,66,"HS","Black"
7,"20206","Owned/Mortgage","1",0,0,11,"C","White"
1,"20604","Occupied","1",1,0,0,"HS","White"
3,"20604","Rented","1",0,0,16,"SC","White"
3,"20204","Rented","1",0,0,101,"HS","Black"
2,"20205","Owned/Mortgage","1",0,0,12,"C","White"
1,"20902","Owned/Free","1",0,0,36,"SC","White"
2,"20701","Rented","1",1,1,91,"HS","Two or more"
1,"20100","Owned/Free","1",0,0,101,"SC","White"
4,"20203","Rented","1",0,0,24,"SC","White"
1,"20206","Rented","1",0,0,28,"HS","White"
2,"20702","Owned/Mortgage","1",0,0,18,"SC","Two or more"
2,"20601","Owned/Free","1",0,0,15,"C","Other"
3,"20904","Owned/Mortgage","1",0,0,29,"HS","Other"
2,"20500","Owned/Free","1",0,0,22,"SC","White"
3,"20206","Owned/Mortgage","1",0,0,19,"SC","White"
2,"20802","Owned/Free","1",0,0,13,"C","White"
6,"20702","Owned/Mortgage","1",0,0,20,"C","White"
1,"20206","Rented","1",1,0,30,"SC","Black"
2,"20206","Rented","1",0,1,20,"SC","White"
2,"20902","Rented","1",0,1,22,"C","White"
1,"20903","Rented","1",0,0,21,"C","White"
1,"20901","Owned/Mortgage","1",0,0,32,"C","White"
1,"20204","Rented","1",0,0,34,"C","White"
2,"20604","Rented","1",1,0,83,"SC","White"
6,"20904","Rented","2",0,1,14,"HS","Two or more"
5,"20204","Owned/Mortgage","1",0,0,29,"HS","White"
1,"20904","Owned/Free","1",0,0,2,"C","White"
2,"20100","Owned/Free","1",0,0,20,"HS","White"
1,"20601","Owned/Free","1",0,0,45,"HS","White"
1,"20702","Owned/Free","1",0,0,8,"SC","White"
3,"20702","Owned/Mortgage","1",0,0,18,"C","White"
3,"20500","Owned/Mortgage","1",0,0,19,"C","White"
3,"20903","Owned/Mortgage","1",0,0,16,"C","White"
1,"20802","Rented","1",0,0,31,"C","White"
4,"20301","Owned/Mortgage","1",0,0,62,"SC","White"
2,"20703","Owned/Free","1",0,0,14,"HS","White"
3,"20402","Rented","1",0,0,10,"C","White"
1,"20904","Rented","1",0,0,38,"C","White"
3,"20402","Rented","1",0,0,25,"HS","Two or more"
2,"20802","Owned/Mortgage","1",0,0,19,"C","Black"
2,"20500","Rented","2",0,1,31,"HS","White"
1,"20201","Rented","1",0,0,66,"HS","Black"
3,"20903","Owned/Mortgage","1",1,0,101,"SC","Other"
2,"20207","Owned/Mortgage","1",0,0,10,"SC","White"
2,"20500","Owned/Free","1",0,0,9,"C","White"
3,"20703","Rented","1",0,1,31,"HS","Other"
5,"20901","Owned/Mortgage","1",0,0,51,"SC","White"
2,"20603","Rented","1",0,0,53,"C","White"
4,"20901","Owned/Free","1",0,0,6,"C","White"
4,"20206","Owned/Free","1",0,1,17,"HS","White"
1,"20602","Owned/Free","1",0,0,34,"SC","White"
1,"20301","Owned/Mortgage","1",0,0,34,"C","White"
2,"20702","Owned/Free","1",0,0,21,"C","White"
2,"20801","Rented","1",0,0,83,"HS","White"
1,"20802","Owned/Free","1",0,0,101,"C","Asian"
1,"20901","Rented","1",0,0,23,"C","Asian"
2,"20402","Rented","1",0,0,25,"HS","White"
4,"20802","Owned/Mortgage","1",0,0,12,"C","Two or more"
1,"20204","Rented","1",0,0,26,"HS","White"
2,"20603","Owned/Free","1",0,0,18,"C","White"
2,"20204","Owned/Mortgage","1",0,0,20,"HS","White"
2,"20604","Owned/Free","1",0,0,7,"C","White"
3,"20401","Rented","1",0,1,56,"C","Two or more"
1,"20604","Rented","1",0,0,13,"SC","Asian"
3,"20801","Rented","1",0,0,33,"HS","Black"
4,"20402","Rented","1",0,1,32,"SC","Two or more"
2,"20801","Rented","1",0,1,12,"HS","White"
4,"20201","Owned/Free","1",0,0,8,"C","Black"
2,"20901","Owned/Mortgage","1",0,0,16,"C","White"
5,"20901","Owned/Mortgage","1",0,0,6,"C","White"
1,"20701","Occupied","1",0,0,0,"SC","Black"
4,"20702","Owned/Mortgage","1",0,0,5,"SC","White"
2,"20207","Owned/Free","1",0,0,19,"HS","White"
2,"20801","Owned/Free","1",0,0,18,"SC","Black"
1,"20301","Owned/Mortgage","1",0,0,35,"HS","White"
1,"20201","Rented","1",0,0,12,"C","Black"
2,"20904","Rented","2",0,0,28,"HS","Two or more"
2,"20301","Owned/Mortgage","1",0,0,6,"HS","White"
3,"20701","Owned/Mortgage","2",0,0,22,"HS","Other"
2,"20903","Owned/Mortgage","1",0,0,33,"C","White"
3,"20402","Owned/Free","1",0,0,1,"C","Asian"
2,"20207","Owned/Free","1",0,0,18,"HS","White"
4,"20301","Owned/Mortgage","2",0,1,7,"HS","White"
3,"20904","Owned/Mortgage","1",0,0,35,"HS","Other"
1,"20203","Rented","1",1,0,101,"SC","White"
1,"20703","Owned/Free","1",0,0,42,"HS","White"
2,"20206","Rented","1",1,1,101,"HS","White"
3,"20802","Owned/Mortgage","1",0,0,25,"C","White"
1,"20802","Rented","1",0,0,4,"C","White"
1,"20500","Rented","1",0,0,26,"C","White"
4,"20904","Rented","1",0,0,39,"HS","Black"
2,"20801","Rented","1",0,1,48,"HS","Black"
1,"20301","Owned/Free","1",0,0,18,"HS","White"
2,"20500","Rented","1",0,0,23,"C","White"
3,"20603","Rented","1",0,1,21,"C","White"
5,"20703","Owned/Mortgage","1",0,0,44,"C","Black"
2,"20602","Rented","1",0,0,65,"C","White"
1,"20202","Owned/Free","1",0,0,28,"SC","White"
1,"20100","Rented","1",0,0,24,"HS","White"
1,"20904","Owned/Free","1",0,0,27,"HS","White"
2,"20204","Rented","1",0,0,18,"SC","Two or more"
1,"20904","Owned/Free","1",0,0,21,"C","White"
4,"20904","Owned/Mortgage","1",0,0,15,"C","White"
8,"20204","Rented","1",1,0,101,"SC","White"
2,"20902","Owned/Mortgage","1",0,0,23,"C","White"
2,"20500","Owned/Free","1",0,0,3,"C","White"
2,"20801","Owned/Mortgage","1",0,1,56,"SC","Black"
3,"20500","Owned/Mortgage","1",0,0,10,"SC","White"
5,"20901","Owned/Mortgage","1",0,0,24,"C","Asian"
2,"20207","Owned/Mortgage","1",0,0,27,"SC","Two or more"
1,"20100","Owned/Mortgage","1",0,0,101,"C","White"
2,"20901","Rented","1",0,0,32,"C","White"
2,"20603","Owned/Mortgage","1",0,0,31,"C","Two or more"
1,"20207","Owned/Mortgage","1",0,0,99,"C","White"
3,"20902","Owned/Mortgage","1",0,0,9,"C","White"
2,"20802","Owned/Mortgage","1",0,0,20,"HS","Black"
2,"20206","Owned/Mortgage","1",0,1,35,"HS","White"
3,"20207","Owned/Mortgage","1",0,0,12,"C","Asian"
2,"20205","Owned/Free","1",0,0,20,"HS","White"
4,"20603","Rented","2",0,0,20,"HS","Other"
6,"20802","Owned/Mortgage","1",0,0,14,"C","White"
4,"20500","Owned/Free","1",0,0,10,"SC","White"
1,"20206","Occupied","1",0,0,0,"SC","White"
1,"20500","Owned/Free","1",0,0,9,"C","White"
1,"20204","Rented","1",0,0,21,"SC","White"
1,"20401","Owned/Mortgage","1",0,0,10,"C","White"
3,"20206","Rented","1",0,1,15,"HS","White"
3,"20603","Owned/Mortgage","1",0,0,8,"SC","White"
4,"20207","Owned/Mortgage","1",0,0,10,"C","White"
2,"20601","Rented","1",1,1,24,"HS","Black"
1,"20203","Owned/Free","1",0,0,28,"C","White"
2,"20206","Owned/Free","1",0,0,19,"HS","White"
3,"20500","Owned/Mortgage","1",0,0,14,"C","White"
2,"20203","Owned/Mortgage","1",0,0,13,"C","White"
3,"20802","Owned/Mortgage","1",0,0,21,"SC","White"
1,"20401","Rented","1",0,0,29,"C","Black"
3,"20500","Owned/Mortgage","1",0,0,13,"C","White"
1,"20901","Owned/Mortgage","2",0,0,101,"SC","White"
2,"20602","Owned/Mortgage","1",0,0,9,"HS","White"
2,"20402","Owned/Free","2",0,0,59,"HS","White"
3,"20202","Owned/Mortgage","1",0,1,101,"HS","Black"
4,"20100","Owned/Mortgage","1",0,0,73,"C","White"
3,"20603","Owned/Mortgage","1",0,0,15,"C","White"
4,"20207","Owned/Mortgage","1",0,0,13,"SC","White"
2,"20207","Owned/Free","1",0,0,3,"C","White"
2,"20602","Owned/Free","1",0,0,52,"HS","White"
2,"20604","Owned/Mortgage","1",0,0,101,"C","White"
6,"20301","Owned/Mortgage","1",0,0,13,"HS","Two or more"
1,"20205","Rented","1",0,0,19,"C","White"
3,"20202","Owned/Mortgage","1",0,0,20,"C","White"
1,"20602","Rented","1",0,0,25,"HS","White"
2,"20202","Owned/Free","1",0,0,8,"C","White"
1,"20703","Rented","1",0,0,43,"HS","White"
1,"20206","Rented","1",0,0,53,"HS","White"
3,"20802","Rented","1",0,0,13,"C","Asian"
4,"20604","Owned/Mortgage","1",0,0,14,"SC","White"
1,"20601","Rented","1",0,0,10,"HS","Two or more"
1,"20204","Owned/Mortgage","1",0,0,21,"C","Black"
2,"20602","Rented","1",0,0,23,"C","Asian"
4,"20205","Owned/Free","1",0,0,1,"C","White"
2,"20604","Owned/Free","1",0,0,14,"SC","White"
4,"20500","Owned/Mortgage","1",0,0,11,"HS","White"
2,"20604","Owned/Mortgage","1",0,1,27,"SC","White"
2,"20203","Rented","1",0,0,92,"C","White"
3,"20207","Owned/Free","1",0,0,9,"C","White"
4,"20207","Owned/Free","1",0,0,6,"C","White"
4,"20203","Owned/Free","1",1,1,36,"HS","Two or more"
2,"20500","Owned/Free","1",0,0,8,"SC","White"
4,"20703","Owned/Mortgage","1",0,0,28,"HS","White"
1,"20301","Owned/Free","1",0,0,28,"C","White"
4,"20701","Rented","2",1,0,101,"HS","Other"
1,"20604","Rented","1",0,0,71,"HS","White"
2,"20206","Owned/Free","1",0,1,20,"HS","White"
2,"20904","Owned/Mortgage","1",0,0,47,"SC","White"
1,"20100","Rented","1",1,0,36,"HS","White"
2,"20901","Owned/Mortgage","1",0,0,101,"HS","White"
2,"20703","Owned/Mortgage","1",0,1,25,"C","Black"
2,"20206","Rented","1",1,1,101,"SC","Black"
2,"20202","Owned/Free","1",0,0,7,"C","White"
1,"20603","Owned/Free","1",0,0,38,"C","White"
2,"20500","Owned/Free","1",0,0,7,"SC","White"
4,"20500","Owned/Mortgage","1",0,0,7,"C","White"
3,"20903","Rented","1",0,0,11,"C","Other"
2,"20902","Owned/Free","1",0,0,26,"C","White"
4,"20202","Owned/Mortgage","1",0,0,24,"HS","Black"
2,"20402","Owned/Free","1",0,0,16,"SC","White"
4,"20904","Owned/Mortgage","1",0,0,39,"C","White"
4,"20702","Owned/Mortgage","1",0,0,13,"HS","White"
1,"20904","Owned/Mortgage","1",1,0,101,"HS","Other"
5,"20100","Owned/Mortgage","1",0,1,13,"C","White"
4,"20301","Owned/Free","1",0,0,21,"HS","White"
3,"20207","Owned/Free","1",0,0,11,"C","Two or more"
1,"20901","Rented","1",1,0,29,"SC","Black"
2,"20703","Owned/Mortgage","1",0,1,14,"C","White"
3,"20802","Owned/Mortgage","1",0,0,22,"C","Two or more"
4,"20207","Owned/Free","1",0,0,14,"C","White"
1,"20604","Owned/Free","1",0,0,14,"SC","White"
2,"20902","Owned/Free","1",0,0,3,"SC","White"
2,"20204","Owned/Mortgage","1",0,0,32,"C","Asian"
3,"20604","Rented","1",1,1,101,"C","White"
5,"20202","Owned/Mortgage","1",0,0,16,"SC","Black"
2,"20207","Owned/Mortgage","1",0,0,14,"C","White"
4,"20100","Owned/Mortgage","1",0,0,6,"C","White"
4,"20802","Owned/Mortgage","1",0,0,21,"C","Asian"
2,"20206","Owned/Mortgage","1",0,0,33,"SC","White"
2,"20603","Owned/Mortgage","1",0,0,35,"HS","Two or more"
6,"20902","Owned/Mortgage","1",0,0,11,"C","White"
3,"20401","Owned/Mortgage","1",0,1,23,"HS","White"
2,"20802","Owned/Mortgage","1",0,0,12,"C","White"
1,"20202","Rented","1",1,0,101,"HS","Black"
3,"20204","Owned/Mortgage","1",0,0,18,"HS","Other"
3,"20301","Owned/Free","1",0,0,17,"SC","White"
2,"20402","Owned/Free","1",0,0,17,"C","White"
1,"20207","Rented","1",1,0,101,"HS","White"
7,"20904","Rented","2",0,0,26,"HS","White"
2,"20204","Owned/Mortgage","1",0,0,29,"C","Two or more"
1,"20206","Rented","1",0,0,24,"C","Asian"
2,"20703","Rented","1",0,0,14,"C","White"
1,"20402","Owned/Free","1",1,0,101,"SC","White"
4,"20802","Owned/Mortgage","1",0,0,49,"C","White"
3,"20703","Rented","1",0,0,16,"C","White"
1,"20204","Rented","1",0,0,25,"C","White"
3,"20702","Owned/Free","1",0,0,7,"C","Asian"
1,"20201","Rented","1",0,0,16,"C","Black"
1,"20703","Owned/Free","1",0,0,22,"HS","Two or more"
4,"20207","Owned/Mortgage","1",0,0,20,"C","White"
1,"20301","Owned/Free","1",0,0,7,"C","White"
2,"20402","Owned/Mortgage","1",0,0,21,"SC","Two or more"
1,"20206","Rented","1",0,0,84,"HS","White"
5,"20701","Rented","1",1,1,101,"HS","Other"
2,"20801","Owned/Free","1",0,1,14,"HS","White"
2,"20202","Rented","1",1,0,63,"C","Asian"
4,"20402","Owned/Free","1",0,0,5,"C","White"
5,"20500","Owned/Mortgage","1",0,0,24,"C","White"
3,"20201","Rented","1",1,1,0,"SC","White"
6,"20703","Owned/Mortgage","1",0,1,16,"SC","White"
3,"20802","Owned/Mortgage","1",0,0,16,"C","Two or more"
4,"20703","Owned/Free","1",0,0,7,"SC","White"
1,"20203","Owned/Free","1",0,0,25,"C","White"
1,"20802","Owned/Free","1",0,0,17,"HS","White"
2,"20203","Owned/Mortgage","1",0,0,32,"C","White"
4,"20206","Rented","1",0,1,11,"SC","White"
6,"20602","Rented","1",0,1,21,"HS","White"
2,"20801","Rented","1",0,0,13,"HS","White"
1,"20401","Owned/Free","1",0,0,6,"HS","White"
2,"20702","Owned/Free","1",0,0,22,"SC","White"
2,"20702","Owned/Free","1",0,0,30,"C","White"
1,"20601","Rented","1",0,0,46,"C","White"
1,"20201","Rented","1",0,0,27,"SC","White"
2,"20202","Owned/Mortgage","1",0,0,20,"HS","White"
2,"20301","Owned/Mortgage","1",0,0,28,"SC","White"
2,"20702","Owned/Free","1",0,0,9,"C","White"
1,"20903","Rented","1",0,0,57,"C","White"
2,"20500","Owned/Mortgage","1",0,0,13,"C","White"
7,"20202","Owned/Mortgage","1",0,0,18,"SC","White"
2,"20801","Rented","1",0,1,56,"HS","Two or more"
2,"20904","Owned/Mortgage","1",0,1,22,"C","White"
4,"20301","Owned/Mortgage","1",0,0,16,"C","White"
2,"20206","Rented","2",0,0,32,"HS","White"
2,"20904","Owned/Mortgage","1",0,0,18,"C","White"
2,"20205","Owned/Mortgage","1",0,0,15,"HS","Two or more"
1,"20703","Owned/Free","2",0,0,19,"HS","White"
1,"20604","Rented","1",0,0,24,"C","White"
5,"20703","Owned/Mortgage","1",0,0,27,"C","Asian"
4,"20402","Owned/Mortgage","1",0,0,14,"SC","White"
1,"20204","Owned/Free","1",0,0,19,"C","White"
1,"20904","Rented","1",0,0,43,"C","White"
1,"20904","Owned/Free","1",0,0,47,"SC","White"
1,"20903","Rented","1",0,0,28,"C","White"
2,"20701","Owned/Free","1",0,0,8,"C","Black"
1,"20100","Rented","1",0,0,72,"HS","White"
2,"20203","Owned/Free","1",0,0,4,"C","White"
3,"20202","Owned/Free","1",0,0,8,"SC","White"
1,"20903","Rented","1",0,0,43,"C","White"
1,"20202","Rented","1",1,0,101,"SC","White"
4,"20204","Owned/Mortgage","1",0,0,16,"C","White"
2,"20602","Owned/Mortgage","1",0,0,101,"SC","White"
1,"20207","Rented","2",0,0,49,"HS","White"
1,"20601","Rented","1",0,0,39,"C","Black"
1,"20207","Owned/Mortgage","1",1,0,101,"HS","White"
4,"20904","Owned/Free","1",0,0,10,"C","White"
